GID_2,GID_0,year,pop_count,lnpop
AGO.3.9_1,AGO,1990,114529,4.74082806603474
AGO.4.1_1,AGO,1990,673,-0.396009949337409
AGO.4.2_1,AGO,1990,1062,0.0601539228197471
AGO.4.3_1,AGO,1990,85970,4.45399839818635
AGO.4.4_1,AGO,1990,1083,0.0797349680188535
AGO.5.1_1,AGO,1990,18775,2.9325261976502
AGO.5.2_1,AGO,1990,24944,3.21663331231542
AGO.5.3_1,AGO,1990,39799,3.6838417863466
AGO.5.4_1,AGO,1990,36029,3.58432416972593
AGO.5.5_1,AGO,1990,13293,2.58723758088546
AGO.5.6_1,AGO,1990,24145,3.18407731932551
AGO.5.7_1,AGO,1990,284531,5.65084221072349
AGO.5.8_1,AGO,1990,3202,1.16377561457452
AGO.5.9_1,AGO,1990,28141,3.33722758765753
AGO.6.1_1,AGO,1990,88844,4.48688202277626
AGO.6.2_1,AGO,1990,10854,2.38453367564121
AGO.6.3_1,AGO,1990,21472,3.06674976078927
AGO.6.4_1,AGO,1990,15151,2.7180665363777
AGO.6.5_1,AGO,1990,129410,4.86298565883358
AGO.6.6_1,AGO,1990,242177,5.48966886376911
AGO.6.7_1,AGO,1990,26629,3.28200084748726
AGO.6.8_1,AGO,1990,42726,3.75480763422804
AGO.6.9_1,AGO,1990,28797,3.36027121504951
AGO.6.10_1,AGO,1990,10025,2.30508197319263
AGO.6.11_1,AGO,1990,6665,1.89686995363067
AGO.6.12_1,AGO,1990,14687,2.68696274877173
AGO.6.13_1,AGO,1990,34870,3.55162686068756
AGO.7.1_1,AGO,1990,83919,4.42985204790646
AGO.7.2_1,AGO,1990,50306,3.91812435428612
AGO.7.3_1,AGO,1990,31992,3.46548587154452
AGO.7.4_1,AGO,1990,56494,4.03413443782307
AGO.7.5_1,AGO,1990,30373,3.41355405587153
AGO.7.6_1,AGO,1990,27255,3.30523699051624
AGO.7.7_1,AGO,1990,205188,5.32392663205446
AGO.7.8_1,AGO,1990,48639,3.88442567823604
AGO.7.9_1,AGO,1990,158214,5.06394854699327
AGO.7.10_1,AGO,1990,62432,4.1340779644407
AGO.7.11_1,AGO,1990,95520,4.55933564964429
AGO.7.12_1,AGO,1990,77987,4.35654214613249
AGO.8.1_1,AGO,1990,11632,2.45375992079116
AGO.8.2_1,AGO,1990,60641,4.10497123196332
AGO.8.3_1,AGO,1990,7030,1.95018670582257
AGO.8.4_1,AGO,1990,10121,2.31461247320676
AGO.8.5_1,AGO,1990,24165,3.18490530529705
AGO.8.6_1,AGO,1990,48874,3.88924555773816
AGO.9.1_1,AGO,1990,195013,5.27306622300829
AGO.9.2_1,AGO,1990,179347,5.18932247676842
AGO.9.3_1,AGO,1990,79916,4.3809760830377
